Concurso,Data Sorteio,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Coluna 7,Ganhadores 7 acertos ,Cidade / UF,Rateio 7 acertos,Ganhadores 6 acertos,Rateio 6 acertos,Ganhadores 5 acertos,Rateio 5 acertos,Ganhadores 4 acertos,Rateio 4 acertos,Ganhadores 3 acertos,Rateio 3 acertos,Acumulado 7 acertos,Arrecadação Total,Estimativa Prêmio,Observação
200,26/01/2022,6,8,3,5,9,8,1,0,,"R$0,00",2,"R$10.988,43",39,"R$805,01",485,"R$64,73",4622,"R$5,00","R$181.293,51","R$536.132,50","R$300.000,00",
201,28/01/2022,1,6,3,2,3,8,8,0,,"R$0,00",1,"R$22.054,16",39,"R$807,84",647,"R$48,69",5526,"R$5,00","R$262.161,35","R$548.257,50","R$400.000,00",
202,31/01/2022,8,3,9,7,5,9,2,0,,"R$0,00",2,"R$11.959,11",43,"R$794,62",584,"R$58,50",4975,"R$5,00","R$349.865,12","R$582.855,00","R$500.000,00",
203,02/02/2022,9,0,4,6,2,8,7,0,,"R$0,00",2,"R$11.345,74",35,"R$926,18",570,"R$56,87",4891,"R$5,00","R$433.067,64","R$554.935,00","R$600.000,00",
204,04/02/2022,2,6,5,1,2,3,2,1,LAGES/SC,"R$524.851,68",0,"R$0,00",33,"R$1.083,59",703,"R$50,86",6021,"R$5,00","R$25.031,15","R$619.370,00","R$100.000,00",
205,07/02/2022,5,7,3,9,9,0,0,0,,"R$0,00",0,"R$0,00",40,"R$786,61",566,"R$55,59",4653,"R$5,00","R$127.816,88","R$537.555,00","R$200.000,00",
206,09/02/2022,3,9,6,9,3,4,6,0,,"R$0,00",0,"R$0,00",21,"R$1.410,46",423,"R$70,02",4386,"R$5,00","R$224.575,99","R$506.102,50","R$300.000,00",
207,11/02/2022,1,8,4,9,2,2,2,0,,"R$0,00",4,"R$5.551,10",27,"R$1.174,83",605,"R$52,43",5185,"R$5,00","R$305.992,51","R$547.625,00","R$400.000,00",
208,14/02/2022,9,8,2,1,1,2,9,0,,"R$0,00",0,"R$0,00",29,"R$1.141,83",545,"R$60,75",4972,"R$5,00","R$414.165,45","R$566.585,00","R$500.000,00",
209,16/02/2022,6,6,3,7,6,3,7,0,,"R$0,00",1,"R$21.680,15",27,"R$1.147,09",474,"R$65,34",4701,"R$5,00","R$493.659,80","R$530.525,00","R$600.000,00",
210,18/02/2022,3,6,2,9,6,7,5,0,,"R$0,00",0,"R$0,00",37,"R$877,53",601,"R$54,02",5321,"R$5,00","R$599.726,47","R$560.700,00","R$700.000,00",
211,21/02/2022,4,6,7,7,0,9,4,0,,"R$0,00",1,"R$23.445,19",35,"R$956,94",523,"R$64,04",4944,"R$5,00","R$685.692,47","R$572.105,00","R$800.000,00",
212,23/02/2022,3,1,3,5,6,5,7,0,,"R$0,00",3,"R$7.951,16",63,"R$540,89",727,"R$46,87",6228,"R$5,00","R$773.156,90","R$595.885,00","R$900.000,00",
213,25/02/2022,4,1,4,6,9,2,9,0,,"R$0,00",1,"R$24.832,05",43,"R$824,98",562,"R$63,12",5745,"R$5,00","R$864.208,55","R$611.812,50","R$1.000.000,00",
214,02/03/2022,1,2,5,6,8,6,6,0,,"R$0,00",1,"R$27.318,69",75,"R$520,35",811,"R$48,12",7526,"R$5,00","R$964.378,36","R$686.985,00","R$1.100.000,00",
215,04/03/2022,3,6,7,7,3,5,9,0,,"R$0,00",2,"R$13.832,19",52,"R$760,01",795,"R$49,71",6620,"R$5,00","R$1.065.815,24","R$684.130,00","R$1.200.000,00",
216,07/03/2022,0,1,3,6,6,3,9,0,,"R$0,00",4,"R$7.100,04",98,"R$413,99",992,"R$40,89",7800,"R$5,00","R$1.169.955,83","R$713.905,00","R$1.300.000,00",
217,09/03/2022,9,8,7,8,3,5,0,0,,"R$0,00",2,"R$13.948,87",40,"R$996,34",657,"R$60,66",6218,"R$5,00","R$1.272.247,99","R$684.620,00","R$1.400.000,00",
218,11/03/2022,6,1,6,9,9,7,6,0,,"R$0,00",3,"R$9.489,18",30,"R$1.355,59",651,"R$62,46",6188,"R$5,00","R$1.376.633,72","R$696.792,50","R$1.500.000,00",
219,14/03/2022,3,3,7,8,5,8,6,0,,"R$0,00",5,"R$5.670,61",37,"R$1.094,71",697,"R$58,11",6695,"R$5,00","R$1.480.596,24","R$700.125,00","R$1.600.000,00",
220,16/03/2022,8,8,4,6,7,3,6,1,LINHARES/ES,"R$1.579.986,69",1,"R$27.105,61",38,"R$1.019,00",600,"R$64,53",5757,"R$5,00","R$0,00","R$661.900,00","R$100.000,00",
221,18/03/2022,5,4,7,6,8,0,3,0,,"R$0,00",0,"R$0,00",24,"R$1.114,56",400,"R$66,87",3892,"R$5,00","R$87.383,41","R$456.265,00","R$200.000,00",
222,21/03/2022,0,8,5,2,6,1,4,0,,"R$0,00",0,"R$0,00",47,"R$594,81",504,"R$55,46",4257,"R$5,00","R$178.710,77","R$479.032,50","R$300.000,00",
223,23/03/2022,5,1,8,1,0,3,8,0,,"R$0,00",0,"R$0,00",21,"R$1.252,25",392,"R$67,08",3578,"R$5,00","R$264.616,82","R$445.687,50","R$400.000,00",
224,25/03/2022,5,4,4,2,1,5,4,0,,"R$0,00",1,"R$18.773,16",36,"R$744,96",487,"R$55,06",4090,"R$5,00","R$333.455,12","R$459.612,50","R$500.000,00",
225,28/03/2022,8,0,0,7,0,4,2,0,,"R$0,00",2,"R$10.113,49",30,"R$963,18",390,"R$74,09",3849,"R$5,00","R$407.621,30","R$488.772,50","R$600.000,00",
226,30/03/2022,2,0,4,7,6,0,8,0,,"R$0,00",0,"R$0,00",41,"R$676,85",557,"R$49,82",4524,"R$5,00","R$498.276,54","R$478.957,50","R$650.000,00",
227,01/04/2022,5,6,2,7,6,8,7,1,BRASILIA/DF,"R$578.267,92",1,"R$21.815,31",40,"R$779,11",504,"R$61,83",4879,"R$5,00","R$0,00","R$535.547,50","R$100.000,00",
228,04/04/2022,7,2,2,3,8,8,9,0,,"R$0,00",2,"R$9.398,16",46,"R$583,73",528,"R$50,85",4710,"R$5,00","R$68.922,26","R$467.272,50","R$200.000,00",
229,06/04/2022,8,6,4,4,4,3,9,0,,"R$0,00",0,"R$0,00",31,"R$841,19",399,"R$65,35",4048,"R$5,00","R$154.109,57","R$447.722,50","R$300.000,00",
230,08/04/2022,8,6,1,6,2,5,1,0,,"R$0,00",1,"R$19.782,26",18,"R$1.570,02",388,"R$72,83",4123,"R$5,00","R$226.646,14","R$482.162,50","R$400.000,00",
231,13/04/2022,4,4,8,2,8,0,7,0,,"R$0,00",1,"R$30.563,66",40,"R$1.091,55",669,"R$65,26",6587,"R$5,00","R$338.715,51","R$747.445,00","R$500.000,00",
232,18/04/2022,1,0,8,5,4,7,6,0,,"R$0,00",2,"R$12.428,53",46,"R$771,95",619,"R$57,36",5959,"R$5,00","R$429.861,25","R$614.830,00","R$550.000,00",
233,20/04/2022,0,2,7,4,4,2,4,0,,"R$0,00",1,"R$21.964,54",40,"R$784,44",497,"R$63,13",5214,"R$5,00","R$510.399,75","R$542.690,00","R$600.000,00",
234,22/04/2022,1,8,8,8,9,6,7,0,,"R$0,00",2,"R$9.337,93",34,"R$784,70",580,"R$45,99",5107,"R$5,00","R$578.881,84","R$469.205,00","R$700.000,00",
235,25/04/2022,9,7,6,2,3,5,6,0,,"R$0,00",1,"R$22.332,64",35,"R$911,53",493,"R$64,71",4934,"R$5,00","R$660.769,58","R$547.547,50","R$750.000,00",
236,27/04/2022,7,0,7,2,9,4,3,0,,"R$0,00",3,"R$7.513,51",25,"R$1.288,03",500,"R$64,40",5027,"R$5,00","R$743.418,79","R$553.187,50","R$850.000,00",
237,29/04/2022,6,2,7,6,3,2,7,0,,"R$0,00",1,"R$24.549,70",42,"R$835,02",568,"R$61,74",5527,"R$5,00","R$833.436,35","R$603.095,00","R$900.000,00",
238,02/05/2022,2,0,9,0,1,2,3,0,,"R$0,00",0,"R$0,00",42,"R$896,22",607,"R$62,01",5537,"R$5,00","R$956.399,39","R$642.740,00","R$1.000.000,00",
239,04/05/2022,3,3,1,5,8,1,2,0,,"R$0,00",2,"R$12.475,31",34,"R$1.048,34",625,"R$57,02",5786,"R$5,00","R$1.047.889,41","R$614.890,00","R$1.100.000,00",
240,06/05/2022,2,5,1,9,4,7,7,0,,"R$0,00",4,"R$6.583,25",57,"R$659,97",870,"R$43,23",7107,"R$5,00","R$1.144.450,00","R$660.497,50","R$1.200.000,00",
241,09/05/2022,2,4,9,8,3,6,1,0,,"R$0,00",1,"R$28.160,26",53,"R$759,03",792,"R$50,79",6707,"R$5,00","R$1.247.706,81","R$696.027,50","R$1.300.000,00",
242,11/05/2022,6,1,6,9,3,4,1,0,,"R$0,00",4,"R$6.878,44",24,"R$1.637,72",559,"R$70,31",5417,"R$5,00","R$1.348.592,04","R$666.945,00","R$1.400.000,00",
243,13/05/2022,9,9,5,7,0,9,0,0,,"R$0,00",3,"R$8.996,26",47,"R$820,32",690,"R$55,87",6123,"R$5,00","R$1.447.554,78","R$663.555,00","R$1.500.000,00",
244,16/05/2022,6,5,5,5,3,9,7,0,,"R$0,00",0,"R$0,00",37,"R$1.069,30",657,"R$60,21",6117,"R$5,00","R$1.576.802,39","R$679.000,00","R$1.600.000,00",
245,18/05/2022,6,7,9,0,2,1,7,0,,"R$0,00",0,"R$0,00",39,"R$928,57",545,"R$66,44",5226,"R$5,00","R$1.695.105,42","R$617.205,00","R$1.800.000,00",
246,20/05/2022,4,9,0,5,4,9,3,0,,"R$0,00",1,"R$29.558,16",35,"R$1.206,45",589,"R$71,69",5831,"R$5,00","R$1.803.485,84","R$716.635,00","R$1.900.000,00",
247,23/05/2022,0,9,9,5,0,5,5,0,,"R$0,00",0,"R$0,00",31,"R$1.357,39",635,"R$66,26",6040,"R$5,00","R$1.940.947,07","R$716.787,50","R$2.000.000,00",
248,25/05/2022,9,2,4,6,3,1,4,0,,"R$0,00",2,"R$13.461,02",48,"R$801,25",757,"R$50,80",5873,"R$5,00","R$2.039.664,37","R$659.205,00","R$2.100.000,00",
249,27/05/2022,8,7,6,7,8,2,4,0,,"R$0,00",2,"R$14.180,02",29,"R$1.397,04",585,"R$69,25",5697,"R$5,00","R$2.143.653,54","R$688.767,50","R$2.250.000,00",
250,30/05/2022,0,7,4,1,5,7,8,0,,"R$0,00",2,"R$14.917,00",46,"R$926,52",877,"R$48,59",7467,"R$5,00","R$2.253.049,59","R$741.565,00","R$2.350.000,00",
251,01/06/2022,7,6,9,9,2,2,0,0,,"R$0,00",0,"R$0,00",40,"R$1.114,74",733,"R$60,83",6445,"R$5,00","R$2.398.711,49","R$760.072,50","R$2.500.000,00",
252,03/06/2022,0,4,7,0,7,5,4,0,,"R$0,00",3,"R$12.480,97",55,"R$972,54",838,"R$63,83",7857,"R$5,00","R$2.536.002,52","R$913.227,50","R$2.600.000,00",
253,06/06/2022,7,0,8,8,3,7,5,0,,"R$0,00",1,"R$34.220,49",48,"R$1.018,46",699,"R$69,93",6933,"R$5,00","R$2.661.481,65","R$831.775,00","R$2.800.000,00",
254,08/06/2022,8,3,8,9,4,2,0,0,,"R$0,00",1,"R$32.439,25",43,"R$1.077,71",727,"R$63,74",6940,"R$5,00","R$2.780.427,68","R$792.722,50","R$2.900.000,00",
255,10/06/2022,4,7,0,6,1,9,8,0,,"R$0,00",2,"R$16.113,35",77,"R$597,89",961,"R$47,90",7735,"R$5,00","R$2.898.597,05","R$797.222,50","R$3.000.000,00",
256,13/06/2022,7,7,0,9,4,9,3,0,,"R$0,00",0,"R$0,00",52,"R$874,25",732,"R$62,10",6739,"R$5,00","R$3.047.106,73","R$776.862,50","R$3.200.000,00",
257,15/06/2022,1,0,6,0,0,5,5,0,,"R$0,00",1,"R$31.759,26",50,"R$907,40",802,"R$56,57",7231,"R$5,00","R$3.163.558,51","R$781.140,00","R$3.300.000,00",
258,17/06/2022,2,9,7,0,7,7,1,0,,"R$0,00",2,"R$16.575,66",45,"R$1.052,42",871,"R$54,37",7661,"R$5,00","R$3.285.115,38","R$816.682,50","R$3.400.000,00",
259,20/06/2022,1,8,1,9,5,0,3,0,,"R$0,00",2,"R$19.245,31",55,"R$999,75",1017,"R$54,06",9524,"R$5,00","R$3.426.253,21","R$955.472,50","R$3.500.000,00",
260,22/06/2022,6,6,0,9,4,4,2,0,,"R$0,00",1,"R$36.040,95",44,"R$1.170,16",749,"R$68,74",7383,"R$5,00","R$3.558.403,96","R$876.960,00","R$3.700.000,00",
261,24/06/2022,2,5,0,1,9,3,3,0,,"R$0,00",6,"R$5.738,54",87,"R$565,37",1371,"R$35,87",9979,"R$5,00","R$3.684.658,81","R$871.537,50","R$3.800.000,00",
262,27/06/2022,2,8,8,7,0,8,3,0,,"R$0,00",1,"R$40.484,01",52,"R$1.112,19",897,"R$64,47",8713,"R$5,00","R$3.833.103,82","R$989.912,50","R$4.000.000,00",
263,29/06/2022,6,7,3,0,8,9,8,0,,"R$0,00",2,"R$20.869,07",60,"R$993,76",890,"R$66,99",8599,"R$5,00","R$3.986.147,21","R$1.016.150,00","R$4.100.000,00",
264,01/07/2022,3,7,4,8,0,4,1,0,,"R$0,00",1,"R$43.009,01",57,"R$1.077,91",966,"R$63,60",9288,"R$5,00","R$4.143.849,99","R$1.052.017,50","R$4.300.000,00",
265,04/07/2022,9,6,5,0,2,1,6,0,,"R$0,00",1,"R$48.237,48",103,"R$669,03",1120,"R$61,52",9940,"R$5,00","R$4.320.726,96","R$1.174.405,00","R$4.500.000,00",
266,06/07/2022,8,7,9,3,6,6,5,0,,"R$0,00",2,"R$21.643,29",74,"R$835,64",1028,"R$60,15",8973,"R$5,00","R$4.479.447,51","R$1.054.482,50","R$4.600.000,00",
267,08/07/2022,4,9,9,7,4,0,2,0,,"R$0,00",2,"R$31.066,20",78,"R$1.137,95",1327,"R$66,88",12715,"R$5,00","R$4.707.274,25","R$1.511.677,50","R$5.000.000,00",
268,11/07/2022,6,5,4,5,3,8,6,0,,"R$0,00",2,"R$25.564,07",74,"R$987,02",1222,"R$59,77",11295,"R$5,00","R$4.894.745,44","R$1.253.540,00","R$5.100.000,00",
269,13/07/2022,3,7,4,3,7,3,0,0,,"R$0,00",3,"R$14.542,49",95,"R$656,05",1232,"R$50,58",10341,"R$5,00","R$5.054.720,20","R$1.077.750,00","R$5.200.000,00",
270,15/07/2022,5,8,5,5,7,5,4,0,,"R$0,00",0,"R$0,00",63,"R$1.115,00",1362,"R$51,57",11455,"R$5,00","R$5.284.192,14","R$1.212.400,00","R$5.300.000,00",
271,18/07/2022,3,4,8,7,1,0,3,0,,"R$0,00",3,"R$19.819,18",83,"R$1.023,36",1388,"R$61,19",12968,"R$5,00","R$5.502.208,80","R$1.455.830,00","R$5.600.000,00",
272,20/07/2022,4,1,8,3,5,5,0,0,,"R$0,00",3,"R$20.748,38",85,"R$1.046,13",1534,"R$57,96",14259,"R$5,00","R$5.730.449,02","R$1.531.962,50","R$5.900.000,00",
273,22/07/2022,0,8,4,9,9,6,5,0,,"R$0,00",5,"R$14.331,68",152,"R$673,48",1957,"R$52,30",16270,"R$5,00","R$5.993.209,13","R$1.761.962,50","R$6.200.000,00",
274,25/07/2022,6,1,6,9,8,6,3,0,,"R$0,00",1,"R$81.346,25",102,"R$1.139,30",1741,"R$66,74",16641,"R$5,00","R$6.291.489,15","R$1.979.080,00","R$6.500.000,00",
275,27/07/2022,7,1,2,8,8,6,1,1,RIO DE JANEIRO/RJ,"R$6.623.773,04",3,"R$30.206,91",139,"R$931,35",2277,"R$56,85",20703,"R$5,00","R$0,00","R$2.229.687,50","R$100.000,00",
276,29/07/2022,7,0,6,0,3,4,2,0,,"R$0,00",2,"R$11.017,65",28,"R$1.124,25",434,"R$72,53",4256,"R$5,00","R$80.796,81","R$533.195,00","R$150.000,00",
277,01/08/2022,9,6,2,1,6,9,8,0,,"R$0,00",1,"R$22.777,88",28,"R$1.162,13",492,"R$66,13",4827,"R$5,00","R$164.318,54","R$556.095,00","R$250.000,00",
278,03/08/2022,7,7,4,2,9,9,4,0,,"R$0,00",2,"R$10.456,16",31,"R$963,70",549,"R$54,41",4490,"R$5,00","R$240.999,64","R$511.222,50","R$300.000,00",
279,05/08/2022,5,2,6,8,1,2,0,0,,"R$0,00",1,"R$21.103,57",36,"R$837,44",492,"R$61,27",4484,"R$5,00","R$318.381,67","R$515.355,00","R$400.000,00",
280,08/08/2022,2,6,0,8,2,3,4,0,,"R$0,00",3,"R$7.049,69",32,"R$944,15",526,"R$57,43",4882,"R$5,00","R$395.931,68","R$520.945,00","R$500.000,00",
281,10/08/2022,2,0,0,6,6,0,3,1,SAO PAULO/SP,"R$470.368,92",2,"R$10.150,31",33,"R$878,81",510,"R$56,86",4742,"R$5,00","R$0,00","R$500.690,00","R$100.000,00",
282,12/08/2022,8,7,4,1,6,6,1,0,,"R$0,00",1,"R$17.887,77",28,"R$912,64",397,"R$64,36",3801,"R$5,00","R$65.590,66","R$436.827,50","R$150.000,00",
283,15/08/2022,9,6,0,6,8,2,0,0,,"R$0,00",1,"R$18.085,76",18,"R$1.435,37",398,"R$64,91",3705,"R$5,00","R$131.907,05","R$440.070,00","R$200.000,00",
284,17/08/2022,2,6,9,5,0,9,9,0,,"R$0,00",0,"R$0,00",34,"R$716,80",409,"R$59,58",3903,"R$5,00","R$211.522,57","R$419.817,50","R$250.000,00",
285,19/08/2022,6,6,7,2,9,3,4,0,,"R$0,00",3,"R$6.182,28",33,"R$802,89",435,"R$60,90",3940,"R$5,00","R$279.530,47","R$452.910,00","R$350.000,00",
286,22/08/2022,6,1,5,9,3,4,1,0,,"R$0,00",6,"R$3.198,63",30,"R$913,89",439,"R$62,45",4037,"R$5,00","R$349.901,19","R$468.197,50","R$400.000,00",
287,24/08/2022,5,5,4,7,0,2,5,0,,"R$0,00",0,"R$0,00",25,"R$1.011,16",400,"R$63,19",4111,"R$5,00","R$432.481,49","R$436.175,00","R$500.000,00",
288,26/08/2022,0,7,7,1,9,9,6,0,,"R$0,00",0,"R$0,00",38,"R$686,12",540,"R$48,28",4620,"R$5,00","R$517.653,78","R$454.252,50","R$600.000,00",
289,29/08/2022,7,9,2,1,2,7,1,0,,"R$0,00",0,"R$0,00",37,"R$1.019,78",585,"R$64,49",5741,"R$5,00","R$640.915,95","R$646.487,50","R$700.000,00",
290,31/08/2022,2,5,2,4,0,0,9,0,,"R$0,00",1,"R$22.792,52",45,"R$723,57",662,"R$49,18",5481,"R$5,00","R$724.491,13","R$563.960,00","R$800.000,00",
291,02/09/2022,1,9,1,3,1,8,6,0,,"R$0,00",2,"R$13.018,57",65,"R$572,24",835,"R$44,54",6620,"R$5,00","R$819.964,36","R$648.380,00","R$900.000,00",
292,05/09/2022,6,8,9,1,5,2,3,0,,"R$0,00",2,"R$13.784,92",41,"R$960,62",666,"R$59,13",5937,"R$5,00","R$921.057,24","R$674.175,00","R$1.000.000,00",
293,09/09/2022,4,5,9,9,5,2,1,0,,"R$0,00",1,"R$29.439,85",39,"R$1.078,38",673,"R$62,49",6233,"R$5,00","R$1.029.004,25","R$718.672,50","R$1.100.000,00",
294,12/09/2022,3,7,4,7,6,7,5,0,,"R$0,00",4,"R$6.699,52",45,"R$850,73",765,"R$50,04",6744,"R$5,00","R$1.127.265,56","R$666.527,50","R$1.200.000,00",
295,14/09/2022,5,9,6,0,8,6,3,0,,"R$0,00",3,"R$9.000,70",33,"R$1.168,92",577,"R$66,85",5396,"R$5,00","R$1.226.274,79","R$655.462,50","R$1.300.000,00",
296,16/09/2022,0,0,5,5,0,9,2,0,,"R$0,00",2,"R$12.479,95",58,"R$614,77",610,"R$58,45",5244,"R$5,00","R$1.317.796,34","R$608.842,50","R$1.400.000,00",
297,19/09/2022,7,3,7,0,0,6,7,0,,"R$0,00",1,"R$27.901,17",37,"R$1.077,26",624,"R$63,87",6076,"R$5,00","R$1.420.103,52","R$683.057,50","R$1.500.000,00",
298,21/09/2022,5,9,1,1,7,9,1,0,,"R$0,00",3,"R$8.620,09",40,"R$923,58",613,"R$60,26",5540,"R$5,00","R$1.514.927,23","R$632.037,50","R$1.600.000,00",
299,23/09/2022,0,8,5,2,0,5,6,0,,"R$0,00",1,"R$25.331,72",34,"R$1.064,35",591,"R$61,23",5507,"R$5,00","R$1.607.811,28","R$620.045,00","R$1.700.000,00",
300,26/09/2022,5,1,3,1,3,8,0,0,,"R$0,00",0,"R$0,00",46,"R$826,72",622,"R$61,14",5971,"R$5,00","R$1.732.041,85","R$653.715,00","R$1.800.000,00",
301,28/09/2022,0,4,2,0,8,9,8,0,,"R$0,00",0,"R$0,00",48,"R$816,02",697,"R$56,19",6105,"R$5,00","R$1.859.999,10","R$672.790,00","R$1.900.000,00",
302,30/09/2022,4,8,7,6,0,8,4,0,,"R$0,00",2,"R$13.749,40",39,"R$1.007,28",568,"R$69,16",5429,"R$5,00","R$1.960.828,86","R$666.755,00","R$2.100.000,00",
